city_name,rest_name
san francisco,Chez Panisse
san francisco,Chez TJ
san francisco,Coi
san francisco,Commis
san francisco,Commonwealth
san francisco,Cortez
san francisco,Cyrus
san francisco,Dio Deka
san francisco,Dry Creek Kitchen
san francisco,El Paseo
san francisco,Etoile
san francisco,Farmhouse Inn & Restaurant
san francisco,Fifth Floor
san francisco,Fleur de Lys
san francisco,Frances
san francisco,Gary Danko
san francisco,Harbor House
san francisco,Hashiri
san francisco,In Situ
san francisco,Jū-Ni
san francisco,K&L Bistro
san francisco,Keiko à Nob Hill
san francisco,Kenzo
san francisco,Kin Khao
san francisco,Kinjo
san francisco,Kusakabe
san francisco,La Costanera
san francisco,La Folie
san francisco,La Toque
san francisco,Lazy Bear
san francisco,Lord Stanley
san francisco,Luce
san francisco,Madcap
san francisco,Madera
san francisco,Madrona Manor
san francisco,Manresa
san francisco,Martini House
san francisco,Maruya
san francisco,Masa's
san francisco,Maum
san francisco,Michael Mina
san francisco,Mirepoix
san francisco,Mister Jiu’s
san francisco,Mosu
san francisco,Mourad
san francisco,Murray Circle
san francisco,Nico
san francisco,Octavia
san francisco,Omakase
san francisco,One Market
san francisco,Plumed Horse
san francisco,Protegé
san francisco,Quince
san francisco,Range
san francisco,Rasa
san francisco,Redd
san francisco,Rich Table
san francisco,Rubicon
san francisco,SPQR
san francisco,Saison
san francisco,Sante
san francisco,SingleThread
san francisco,Solbar
san francisco,Sons & Daughters
san francisco,Sorrel
san francisco,Spruce
san francisco,State Bird Provisions
san francisco,Sushi Ran
san francisco,Sushi Yoshizumi
san francisco,Terra
san francisco,Terrapin Creek
san francisco,The Dining Room at the Ritz-Carlton
san francisco,The French Laundry
san francisco,The Kitchen
san francisco,The Progress
san francisco,The Restaurant at Meadowood
san francisco,The Village Pub
san francisco,Trevese
san francisco,Ubuntu
san francisco,Wako
san francisco,Wakuriya
washington dc,Blue Duck Tavern
washington dc,Bresca
washington dc,Fiola
washington dc,Gravitas
washington dc,Inn at Little Washington
washington dc,Kinship
washington dc,Komi
washington dc,Little Pearl
washington dc,Masseria
washington dc,Maydan
washington dc,Métier
washington dc,Pineapple & Pearls
washington dc,Plume
washington dc,Rose's Luxury
washington dc,Siren
washington dc,Sushi Nakazawa
washington dc,Sushi Taro
washington dc,Tail Up Goat
washington dc,The Dabney
washington dc,minibar
